Starting - Ending Date,,01/09/2021 - 31/03/2022,,,,,
Timeframe,,30m,,,1h,,
,,Tradingview,Jesse,abs(T-J),Tradingview,Jesse,abs(T-J)
Total Closed Trades,,22,47,25,18,24,6
Total Net Profit,,0.45%,-1.34%,0.0179,16.88%,20.53%,0.0365
Max Drawdown,,-22.51%,-30.14%,0.0763,-11.96%,-9.96%,0.02
Winrate,,45.45%,36.17%,0.0928,61.11%,45.83%,0.1528
Sharpe Ratio,,0.024,0.11,0.086,0.363,1.27,0.907
Sortino Ratio,,0.038,0.16,0.122,1.181,2.37,1.189
Largest Winning Trade,,520.58,549.66,29.08,602.63,621.5,18.87
Largest Losing Trade,,-484.99,-319.93,165.06,-599.62,-320.15,279.47
Total Winning Trades,,10,17,7,11,11,0
Total Losing Trades,,11,30,19,7,13,6
,,,,,,,
Starting - Ending Date,,01/10/2021 - 31/03/2022,,,,,
Timeframe,,30m,,,1h,,
,,Tradingview,Jesse,abs(T-J),Tradingview,Jesse,abs(T-J)
Total Closed Trades,,19,39,20,17,21,4
Total Net Profit,,10.09%,6.54%,0.0355,16.29%,21.47%,0.0518
Max Drawdown,,-20.19%,-26.25%,0.0606,-11.97%,-9.58%,0.0239
Winrate,,47.37%,38.46%,0.0891,58.82%,47.62%,0.112
Sharpe Ratio,,0.238,0.55,0.312,0.386,1.5,1.114
Sortino Ratio,,0.467,0.89,0.423,1.248,2.94,1.692
Largest Winning Trade,,570.65,593.57,22.92,600.05,626.67,26.62
Largest Losing Trade,,-509.78,-345.38,164.4,-596.18,-323.5,272.68
Total Winning Trades,,9,15,6,10,10,0
Total Losing Trades,,9,24,15,7,11,4
,,,,,,,
Starting - Ending Date,,01/08/2021 - 28/02/2022,,,,,
Timeframe,,30m,,,1h,,
,,Tradingview,Jesse,abs(T-J),Tradingview,Jesse,abs(T-J)
Total Closed Trades,,30,52,22,23,29,6
Total Net Profit,,-5.39%,0.08%,0.0547,38.88%,32.89%,0.0599
Max Drawdown,,-32.07%,-35.33%,0.0326,-11.98%,-9.98%,0.02
Winrate,,53.33%,36.54%,0.1679,65.22%,48.28%,0.1694
Sharpe Ratio,,-0.081,0.19,0.271,0.498,1.78,1.282
Sortino Ratio,,-0.119,0.28,0.399,2.518,3.47,0.952
Largest Winning Trade,,556.6,556.56,0.04,706.41,658.66,47.75
Largest Losing Trade,,-1042.56,-323.64,718.92,-740.91,-372.82,368.09
Total Winning Trades,,16,19,3,15,14,1
Total Losing Trades,,14,33,19,8,15,7